varying_param_name,varying_param_value,density_method,RMSE,RW-RMSE,SERA,DW-RMSE,DW-SERA
alpha,0.3119119119119119,relevance,2.266456647711221,2.8944008442840006,2481.8542451607937,2.970500222702424,3326.592918063292
alpha,0.3119119119119119,denseweight,2.273088662178835,2.9708935367338167,2615.223688556714,3.037423477270195,3443.7248233229193
alpha,0.3148148148148148,relevance,2.2750410126164726,2.8937594867765695,2481.253776417643,2.983775715359002,3339.4615370385745
alpha,0.3148148148148148,denseweight,2.2666586239559536,2.944330496048747,2568.530351614739,3.015434314603188,3429.473690821852
alpha,0.31771771771771773,relevance,2.245474500247784,2.8545946127956006,2414.1679010939583,2.9418942852168652,3285.1614421013714
alpha,0.31771771771771773,denseweight,2.280225951214382,2.9833595772222563,2637.22344616397,3.0471060183202776,3466.0899644224346
alpha,0.3206206206206206,relevance,2.27317710553377,2.9013984260749375,2493.682330518117,2.9797425165236073,3330.9149891792013
alpha,0.3206206206206206,denseweight,2.2799077165087334,3.001763343186999,2670.1738085533675,3.0729087096959,3521.071036603713
alpha,0.32352352352352354,relevance,2.26562535282347,2.9018944494587124,2494.8760828376335,2.9738033553964036,3295.311838692676
alpha,0.32352352352352354,denseweight,2.270910597408772,2.9556793976729394,2588.4783428289174,3.026452752463065,3421.4374236030208
alpha,0.3264264264264264,relevance,2.2733796638936443,2.8953289977814536,2483.93983929219,2.9831562293356306,3372.9628596714624
alpha,0.3264264264264264,denseweight,2.244885794567581,2.895942655306957,2484.5667234311263,2.9759953138247828,3329.6361659544646
alpha,0.32932932932932935,relevance,2.255350557007386,2.9064531632252546,2502.307638551056,2.9961868571894916,3341.985336134692
alpha,0.32932932932932935,denseweight,2.2627768727500444,2.9431322743628563,2566.538088010588,3.0174042008455,3404.850126457001
alpha,0.3322322322322322,relevance,2.2791430876409007,2.9438254934834567,2567.7503017706085,3.0223299195258586,3411.7859752040345
alpha,0.3322322322322322,denseweight,2.2969876825851823,2.9662777060750325,2607.1185346777893,3.040258742799654,3490.5705271309375
alpha,0.33513513513513515,relevance,2.2925228494337055,2.961837918327457,2598.6615132025713,3.052147389959708,3473.380463426272
alpha,0.33513513513513515,denseweight,2.2259479596366503,2.8934050591160263,2480.3381310921654,2.959876684336779,3303.80247540302
alpha,0.338038038038038,relevance,2.2553199610157177,2.8924747111903852,2478.7548811497168,2.972228949714058,3306.0307047168685
alpha,0.338038038038038,denseweight,2.2693947806563326,2.9297715274415133,2543.0611055900517,3.0094864733679922,3389.28397757598
alpha,0.34094094094094096,relevance,2.2567749888838935,2.9250112733913074,2534.7631590941924,2.9927116957179796,3339.2227466922395
alpha,0.34094094094094096,denseweight,2.2581781706872275,2.902281665241929,2495.8380408829003,2.988788682632139,3368.3146884581533
alpha,0.3438438438438438,relevance,2.2541928810013867,2.9045895130213126,2499.5320786535976,2.9819598171203263,3331.2391932299693
